referenceTime,dew_point_temp,air_temp,relative_humidity,irradiance,wind_speed,wind_category,AC_Power_IV1,IV1_status,AC_Power_IV2,IV2_status,AC_Power_IV3,IV3_status,AC_Power_IV4,IV4_status,AC_Power_IV5,IV5_status,AC_Power_IV6,IV6_status,AC_Power_IV7,IV7_status,AC_Power_IV8,IV8_status,Total_AC_Power_IV_On,Total_AC_Power,Total_AC_Power_East,Total_AC_Power_West,Total_AC_Power_South,ghi,dni,dhi,hour_harmonic,day_harmonic
2021-01-05 12:00:00+00:00,-6.3,-1.1,68.0,87.2,1.5,2.0,0.77,1.0,0.85,1.0,1.86,1.0,1.84,1.0,1.72,1.0,0.52,1.0,5.38,1.0,2.89,1.0,15.05,15.06,3.4800000000000004,4.08,8.27,88.67356287082242,473.8844205296699,22.323038271853196,1.0,-0.9962981749346078
2021-01-05 13:00:00+00:00,-6.3,-1.4,69.0,56.8,1.1,3.0,0.44,1.0,0.49,1.0,2.15,1.0,1.79,1.0,1.67,1.0,0.55,1.0,4.34,1.0,2.31,1.0,13.3,13.3,3.08,4.01,6.65,56.825589960139496,371.78637385592094,16.959959150792756,0.9659258262890684,-0.9962981749346078
2021-01-05 14:00:00+00:00,-7.0,-2.9,73.0,20.8,1.6,4.0,0.09,1.0,0.1,1.0,0.7,1.0,0.95,1.0,0.91,1.0,0.22,1.0,2.01,1.0,1.06,1.0,5.96,5.950000000000001,0.8899999999999999,2.08,3.07,11.557772356196487,132.9660930314956,5.387627185484323,0.866025403784439,-0.9962981749346078
2021-01-05 15:00:00+00:00,-7.8,-4.1,76.0,5.9,1.0,4.0,0.0,1.0,0.0,1.0,0.02,1.0,0.02,1.0,0.01,1.0,0.0,1.0,0.1,1.0,0.05,1.0,0.0,0.2,0.02,0.03,0.15,0.0,0.0,0.0,0.7071067811865483,-0.9962981749346078
2021-01-05 16:00:00+00:00,-7.8,-4.9,80.0,0.0,1.4,4.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.33,0.0,0.33,0.0,0.33,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000006,-0.9962981749346078
2021-01-06 08:00:00+00:00,-12.7,-11.3,89.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999993,-0.9946708199115211
2021-01-06 09:00:00+00:00,-12.7,-11.3,88.0,8.9,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.15,0.5,0.05,0.17,0.0,0.2,0.0,0.0,0.2,15.601805648223332,160.86737727737756,6.896548850955199,0.7071067811865475,-0.9946708199115211
2021-01-06 10:00:00+00:00,-12.1,-10.7,88.0,62.6,0.5,1.0,0.19,0.83,0.21,0.83,0.2,0.83,0.2,1.0,0.21,1.0,0.01,0.5,1.3,1.0,0.67,1.0,1.87,2.8,0.6000000000000001,0.42,1.97,61.88892977702261,386.79773367451065,18.16915785174525,0.8660254037844388,-0.9946708199115211
2021-01-06 11:00:00+00:00,-11.2,-9.9,88.0,43.9,0.5,1.0,0.22,1.0,0.26,1.0,0.34,1.0,0.33,1.0,0.34,1.0,0.02,1.0,1.13,1.0,0.58,1.0,3.0,3.0,0.8200000000000001,0.6900000000000001,1.71,91.71074736144432,478.4978029038263,23.10963336730353,0.9659258262890683,-0.9946708199115211
2021-01-06 12:00:00+00:00,-10.7,-8.9,88.0,47.7,0.8,3.0,0.39,1.0,0.4,1.0,0.66,1.0,0.56,1.0,0.56,1.0,0.12,1.0,1.59,1.0,0.85,1.0,4.74,4.74,1.4500000000000002,1.2400000000000002,2.44,90.50224888801078,475.2507224768367,22.928952957156085,1.0,-0.9946708199115211
